,gi,AccNum,Name,Topology,BaltimoreClass,Order,Family,Subfamily,Genera,Lineage
21,162329424,NC_010153.1,Acidianus filamentous virus 7,linear,1,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus."
22,162329482,NC_010154.1,Acidianus filamentous virus 8,linear,1,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus."
23,171473648,NC_010537.1,Acidianus filamentous virus 9,linear,1,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus."
24,159341058,NC_009965.1,Acidianus rod-shaped virus 1,linear,1,Ligamenvirales,Rudiviridae,,Rudivirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Rudiviridae; Rudivirus."
25,270281746,NC_013585.1,Acidianus spindle-shaped virus 1,circular,1,,Fuselloviridae,,Betafusellovirus," Viruses; dsDNA viruses, no RNA stage; Fuselloviridae; Betafusellovirus."
26,75750386,NC_007409.1,Acidianus two-tailed virus,circular,1,,Bicaudaviridae,,Bicaudavirus," Viruses; dsDNA viruses, no RNA stage; Bicaudaviridae; Bicaudavirus."
27,388570767,NC_017984.1,Acinetobacter bacteriophage AP22,circular,1,Caudovirales,Myoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae."
28,326536151,NC_015250.1,Acinetobacter virus 133,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
29,509139299,NC_021316.1,Acinetobacter phage Abp1,linear,1,Caudovirales,Podoviridae,Autographivirinae,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae."
30,311992494,NC_014660.1,Acinetobacter phage Ac42,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
31,311992750,NC_014661.1,Acinetobacter phage Acj61,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
32,311993272,NC_014663.1,Acinetobacter phage Acj9,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
33,28173057,NC_002700.2,Acinetobacter phage AP205,linear,4,,Leviviridae,,Levivirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; Levivirus."
34,423261980,NC_019541.1,Acinetobacter phage Bphi-B1251,linear,1,Caudovirales,Podoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae."
35,971763485,NC_028987.1,Acinetobacter phage vB_AbaM_IME200,circular,1,Caudovirales,Podoviridae,Autographivirinae,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae."
36,589892139,NC_023590.1,Acinetobacter phage IME_AB3,circular,1,Caudovirales,Siphoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae."
37,589890642,NC_023570.1,Acinetobacter phage Petty,linear,1,Caudovirales,Podoviridae,Autographivirinae,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unclassified phiKMV-like phages."
38,589891329,NC_023581.1,Acinetobacter phage Presley,linear,1,Caudovirales,Podoviridae,,N4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus."
39,712915757,NC_025462.1,Acinetobacter phage vB_AbaM_Acibel004,circular,1,Caudovirales,Myoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae."
40,712915472,NC_025457.1,Acinetobacter phage vB_AbaP_Acibel007,circular,1,Caudovirales,Podoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae."
41,682123100,NC_024785.1,Acinetobacter phage YMC-13-01-C62,linear,1,Caudovirales,Myoviridae,,Ap22virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus."
42,939535472,NC_018087.3,Acinetobacter phage ZZ1,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
43,14251190,NC_002795.1,Aconitum latent virus,linear,4,Tymovirales,Betaflexiviridae,Quinvirinae,Carlavirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Betaflexiviridae; Quinvirinae; Carlavirus."
44,357579586,NC_016404.1,Actinidia virus B,linear,4,Tymovirales,Betaflexiviridae,Trivirinae,Vitivirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Betaflexiviridae; Trivirinae; Vitivirus."
45,151266287,NC_009643.1,Actinomyces virus Av1,linear,1,Caudovirales,Podoviridae,Picovirinae,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Picovirinae; unassigned Picovirinae."
46,48697401,NC_005885.1,Actinoplanes phage phiAsp2,linear,1,Caudovirales,Siphoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae."
47,10314009,NC_002548.1,Acute bee paralysis virus,linear,4,Picornavirales,Dicistroviridae,,Aparavirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Dicistroviridae; Aparavirus."
48,9633550,NC_000935.1,Hamiltonella virus APSE1,circular,1,Caudovirales,Podoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae."
49,20451015,NC_003780.1,Acyrthosiphon pisum virus,linear,4,,,,," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage."
50,747262159,NC_026141.2,Adelie penguin polyomavirus,circular,1,,Polyomaviridae,,," Viruses; dsDNA viruses, no RNA stage; Polyomaviridae."
51,9632547,NC_002077.1,Adeno-associated virus - 1,linear,2,,Parvoviridae,Parvovirinae,Dependoparvovirus, Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus.
52,110645916,NC_001401.2,Adeno-associated virus - 2,linear,2,,Parvoviridae,Parvovirinae,Dependoparvovirus, Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus.
53,9628918,NC_001729.1,Adeno-associated virus - 3,linear,2,,Parvoviridae,Parvovirinae,Dependoparvovirus, Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus.
54,9629641,NC_001829.1,Adeno-associated virus - 4,circular,2,,Parvoviridae,Parvovirinae,Dependoparvovirus, Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus.
55,51593836,NC_006152.1,Adeno-associated virus - 5,linear,2,,Parvoviridae,Parvovirinae,Dependoparvovirus, Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus.
56,51949960,NC_006260.1,Adeno-associated virus - 7,linear,2,,Parvoviridae,Parvovirinae,Dependoparvovirus, Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus.
57,51949963,NC_006261.1,Adeno-associated virus - 8,linear,2,,Parvoviridae,Parvovirinae,Dependoparvovirus, Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus.
58,506498026,NC_021247.1,Adoxophyes honmai entomopoxvirus 'L',linear,1,,Poxviridae,Entomopoxvirinae,Betaentomopoxvirus," Viruses; dsDNA viruses, no RNA stage; Poxviridae; Entomopoxvirinae; Betaentomopoxvirus."
59,29567085,NC_004690.1,Adoxophyes honmai nucleopolyhedrovirus,circular,1,,Baculoviridae,,Alphabaculovirus," Viruses; dsDNA viruses, no RNA stage; Baculoviridae; Alphabaculovirus."
60,32698539,NC_005038.1,Adoxophyes orana granulovirus,circular,1,,Baculoviridae,,Betabaculovirus," Viruses; dsDNA viruses, no RNA stage; Baculoviridae; Betabaculovirus."
61,209978775,NC_011423.1,Adoxophyes orana nucleopolyhedrovirus,circular,1,,Baculoviridae,,Alphabaculovirus," Viruses; dsDNA viruses, no RNA stage; Baculoviridae; Alphabaculovirus; unclassified Alphabaculovirus."
62,229342011,NC_012636.1,Aedes aegypti densovirus 2,linear,2,,Parvoviridae,Densovirinae,Brevidensovirus, Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Brevidensovirus.
63,23334602,NC_004285.1,Aedes albopictus densovirus 2,linear,2,,Parvoviridae,Densovirinae,Brevidensovirus, Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Brevidensovirus.
64,254688376,NC_012932.1,Aedes flavivirus,linear,4,,Flaviviridae,,Flavivirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus."
65,109289986,NC_008208.1,Aeromonas virus 25,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
66,66391804,NC_007022.1,Aeromonas virus 31,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
67,37651481,NC_005135.1,Aeromonas virus 44RR2,linear,1,Caudovirales,Myoviridae,,Biquartavirus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Biquartavirus."
68,326536409,NC_015251.1,Aeromonas virus 65,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
69,38639923,NC_005260.1,Aeromonas virus Aeh1,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
70,472437937,NC_020879.1,Aeromonas phage Aes012,linear,1,Caudovirales,Myoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae."
71,423262092,NC_019543.1,Aeromonas phage Aes508,linear,1,Caudovirales,Myoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae."
72,423261416,NC_019538.1,Aeromonas phage CC2,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
73,712915603,NC_025459.1,Aeromonas phage pAh6-C,circular,1,Caudovirales,Myoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae."
74,310722194,NC_014635.1,Aeromonas phage phiAS4,linear,1,Caudovirales,Myoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae."
75,310722466,NC_014636.1,Aeromonas phage phiAS5,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
76,422937568,NC_019528.1,Aeromonas phage phiAS7,linear,1,Caudovirales,Podoviridae,Autographivirinae,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; unassigned Autographivirinae."
77,158518661,NC_009542.2,Aeromonas phage phiO18P,linear,1,Caudovirales,Myoviridae,Peduovirinae,Hpunalikevirus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Peduovirinae; Hpunalikevirus."
78,593773806,NC_023688.1,Aeromonas phage PX29,linear,1,Caudovirales,Myoviridae,Tevenvirinae,T4virus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus."
79,422937484,NC_019527.1,Aeromonas phage vB_AsaM-56,linear,1,Caudovirales,Myoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae."
80,548894527,NC_022519.1,African elephant polyomavirus 1,circular,1,,Polyomaviridae,,," Viruses; dsDNA viruses, no RNA stage; Polyomaviridae; unclassified Polyomaviridae."
81,531523124,NC_004763.2,African green monkey polyomavirus,circular,1,,Polyomaviridae,,," Viruses; dsDNA viruses, no RNA stage; Polyomaviridae; unclassified Polyomaviridae."
82,189490154,NC_010820.1,African green monkey simian foamy virus,linear,7,,Retroviridae,Spumaretrovirinae,Spumavirus, Viruses; Retro-transcribing viruses; Retroviridae; Spumaretrovirinae; Spumavirus.
83,226309581,NC_012519.1,African oil palm ringspot virus,linear,4,Tymovirales,Betaflexiviridae,,," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Betaflexiviridae; unassigned Betaflexiviridae."
84,723456162,NC_001659.2,African swine fever virus,linear,1,,Asfarviridae,,Asfivirus," Viruses; dsDNA viruses, no RNA stage; Asfarviridae; Asfivirus."
85,674660335,NC_024710.1,Ageratum conyzoides associated symptomless alphasatellite,circular,8,,,,, Viruses; Satellites; Satellite Nucleic Acids; Single stranded DNA satellites; Alphasatellites; Begomovirus-associated alphasatellites; unclassified Begomovirus-associated alphasatellites.
86,423262451,NC_019547.1,Ageratum enation alphasatellite,circular,8,,,,, Viruses; Satellites; Satellite Nucleic Acids; Single stranded DNA satellites; Alphasatellites; Begomovirus-associated alphasatellites; unclassified Begomovirus-associated alphasatellites.
87,19352426,NC_003434.1,Ageratum enation virus,circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus.
88,473973283,NC_020889.1,Ageratum leaf curl betasatellite,circular,8,,,,, Viruses; Satellites; Tolecusatellitidae; Betasatellite.
89,313493551,NC_014746.1,Ageratum leaf curl Buea betasatellite,circular,8,,,,, Viruses; Satellites; Tolecusatellitidae; Betasatellite.
90,313501306,NC_014744.1,Ageratum leaf curl Cameroon alphasatellite,circular,8,,,,, Viruses; Satellites; Satellite Nucleic Acids; Single stranded DNA satellites; Alphasatellites; Begomovirus-associated alphasatellites; unclassified Begomovirus-associated alphasatellites.
91,226597568,NC_012557.1,Ageratum leaf curl Cameroon betasatellite,circular,8,,,,, Viruses; Satellites; Tolecusatellitidae; Betasatellite.
92,311788801,NC_014645.1,Ageratum leaf curl Cameroon virus,circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus.
93,54646388,NC_006384.1,Ageratum leaf curl virus - [G52],circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus.
94,33300797,NC_005046.1,Ageratum yellow leaf curl betasatellite,circular,8,,,,, Viruses; Satellites; Tolecusatellitidae; Betasatellite.
95,584593487,NC_023443.1,Ageratum yellow vein China alphasatellite,circular,8,,,,, Viruses; Satellites; Satellite Nucleic Acids; Single stranded DNA satellites; Alphasatellites; Begomovirus-associated alphasatellites; unclassified Begomovirus-associated alphasatellites.
96,66396483,NC_007067.1,Ageratum yellow vein China betasatellite,circular,8,,,,, Viruses; Satellites; Tolecusatellitidae; Betasatellite.
97,22128013,NC_004090.1,Ageratum yellow vein China virus - [Hn2],circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus; unclassified Begomovirus.
98,189426769,NC_010812.1,Ageratum yellow vein Hualian virus,linear,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus.
99,18959285,NC_003414.1,Ageratum yellow vein Singapore alphasatellite,circular,8,,,,, Viruses; Satellites; Satellite Nucleic Acids; Single stranded DNA satellites; Alphasatellites; Begomovirus-associated alphasatellites.
100,14647158,NC_002981.1,Ageratum yellow vein Sri Lanka virus,circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus.
101,29135250,NC_004627.1,Ageratum yellow vein Taiwan virus,circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus; unclassified Begomovirus.
102,18702122,NC_003403.1,Ageratum yellow vein betasatellite,circular,8,,,,, Viruses; Satellites; Tolecusatellitidae; Betasatellite.
103,29126650,NC_004626.1,Ageratum yellow vein virus,linear,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus.
104,435844340,NC_019519.1,Agrobacterium phage 7-7-1,linear,1,Caudovirales,Myoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae."
105,48843530,NC_005903.1,Agropyron mosaic virus,linear,4,,Potyviridae,,Rymovirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Potyviridae; Rymovirus."
106,209170884,NC_011345.1,Agrotis ipsilon multiple nucleopolyhedrovirus,circular,1,,Baculoviridae,,Alphabaculovirus," Viruses; dsDNA viruses, no RNA stage; Baculoviridae; Alphabaculovirus."
107,52627071,NC_005839.2,Agrotis segetum granulovirus,circular,1,,Baculoviridae,,Betabaculovirus," Viruses; dsDNA viruses, no RNA stage; Baculoviridae; Betabaculovirus."
108,90592717,NC_007921.1,Agrotis segetum nucleopolyhedrovirus A,circular,1,,Baculoviridae,,Alphabaculovirus," Viruses; dsDNA viruses, no RNA stage; Baculoviridae; Alphabaculovirus."
109,9630643,NC_001918.1,Aichi virus 1,linear,4,Picornavirales,Picornaviridae,,Kobuvirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Kobuvirus."
110,10140926,NC_002531.1,Alcelaphine gammaherpesvirus 1,linear,1,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Macavirus," Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Gammaherpesvirinae; Macavirus."
111,658607355,NC_024382.1,Alcelaphine gammaherpesvirus 2,linear,1,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Macavirus," Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Gammaherpesvirinae; Macavirus."
112,9628278,NC_001662.1,Aleutian mink disease virus,linear,2,,Parvoviridae,Parvovirinae,Amdoparvovirus, Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Amdoparvovirus.
113,189009878,NC_010736.1,Algerian watermelon mosaic virus,linear,4,,Potyviridae,,Potyvirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Potyviridae; Potyvirus."
114,24432113,NC_004355.1,Alkhumra hemorrhagic fever virus,linear,4,,Flaviviridae,,Flavivirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; tick-borne encephalitis virus group."
115,190336512,NC_010947.1,Allamanda leaf curl virus,circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus; unclassified Begomovirus.
116,612184434,NC_024009.1,Allamanda leaf mottle distortion virus,circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus; unclassified Begomovirus.
117,357580105,NC_012211.2,Allium virus X,linear,4,Tymovirales,Alphaflexiviridae,,Potexvirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus."
118,701219297,NC_025391.1,Almpiwar virus,linear,5,Mononegavirales,Rhabdoviridae,,Sripuvirus, Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Sripuvirus.
119,594135072,NC_023760.1,Mink coronavirus strain WD1127,linear,4,Nidovirales,Coronaviridae,Coronavirinae,Alphacoronavirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Alphacoronavirus."
120,9628574,NC_001694.1,Alphapapillomavirus 3,circular,1,,Papillomaviridae,,Alphapapillomavirus," Viruses; dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus."
121,596458719,NC_023812.1,Madariaga virus,linear,4,,Togaviridae,,Alphavirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus."
122,75750459,NC_007408.1,Alstroemeria virus x,linear,4,Tymovirales,Alphaflexiviridae,,Potexvirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus."
123,85718599,NC_007731.1,Alternanthera mosaic virus,linear,4,Tymovirales,Alphaflexiviridae,,Potexvirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Potexvirus."
124,148828664,NC_009562.1,Alternanthera yellow vein betasatellite,circular,8,,,,, Viruses; Satellites; Tolecusatellitidae; Betasatellite.
125,71658834,NC_007211.1,Alternanthera yellow vein virus,circular,2,,Geminiviridae,,Begomovirus, Viruses; ssDNA viruses; Geminiviridae; Begomovirus.
126,746815417,NC_026136.1,Alternaria brassicicola betaendornavirus 1,linear,3,,Endornaviridae,,Betaendornavirus, Viruses; dsRNA viruses; Endornaviridae; Betaendornavirus.
127,674269318,NC_024703.1,Alternaria longipes dsRNA virus 1,linear,3,,,,, Viruses; dsRNA viruses.
128,514051544,NC_021532.1,Alteromonas phage vB_AmaP_AD45-P1,linear,1,Caudovirales,Podoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae."
129,55770802,NC_006440.1,Amasya cherry disease-associated mycovirus,linear,3,,Partitiviridae,,, Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae.
130,45686008,NC_005832.1,Ambystoma tigrinum virus,linear,1,,Iridoviridae,Alphairidovirinae,Ranavirus," Viruses; dsDNA viruses, no RNA stage; Iridoviridae; Alphairidovirinae; Ranavirus."
131,557307918,NC_022755.1,American bat vesiculovirus TFFN-2013,linear,5,Mononegavirales,Rhabdoviridae,,Vesiculovirus, Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Vesiculovirus.
132,386644969,NC_017859.1,American hop latent virus,linear,4,Tymovirales,Betaflexiviridae,Quinvirinae,Carlavirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Betaflexiviridae; Quinvirinae; Carlavirus."
133,9964314,NC_002520.1,Amsacta moorei entomopoxvirus,linear,1,,Poxviridae,Entomopoxvirinae,Betaentomopoxvirus," Viruses; dsDNA viruses, no RNA stage; Poxviridae; Entomopoxvirinae; Betaentomopoxvirus."
134,658310528,NC_024358.1,Anabaena phage A-4L,linear,1,Caudovirales,Podoviridae,,," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae."
135,212525933,NC_011559.1,Anagyris vein yellowing virus,linear,4,Tymovirales,Tymoviridae,,Tymovirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Tymoviridae; Tymovirus."
136,255683134,NC_013036.1,Anatid alphaherpesvirus 1,linear,1,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Mardivirus," Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Mardivirus."
137,686983197,NC_024907.1,Ancient caribou feces associated virus,circular,-1,,,,, Viruses; unclassified viruses.
138,459642388,NC_020470.1,Andean potato latent virus,linear,4,Tymovirales,Tymoviridae,,Tymovirus," Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Tymoviridae; Tymovirus."
139,821316663,NC_023876.2,Andrographis yellow vein leaf curl betasatellite,circular,8,,,,, Viruses; Satellites; Tolecusatellitidae; Betasatellite.
